"id","created_at","created_by","updated_at","update_by","avatar","email","email_verified","full_name","is_active","is_deleted","last_login_at","locale","password","phone","provider","username"
"1","2023-05-09T22:59:45.049","puzzle429@gmail.com","2023-05-09T22:59:45.049","puzzle429@gmail.com","NULL","employer1@gmail.com","false","NULL","true","false","NULL","NULL","$2a$10$WuEqJKWC9wq6kyPjnouove2iIjd.Fdy4R/1Oax0dd0QdG0JIDekm2","NULL","NULL","NULL"
"2","2023-05-09T22:59:45.065","puzzle429@gmail.com","2023-05-09T22:59:45.065","puzzle429@gmail.com","NULL","employer2@gmail.com","false","NULL","true","false","NULL","NULL","$2a$10$N.4HNe6xt6h965nZkuU3UeV8X1teX/3EVNNgtsXB037q4nJjput/.","NULL","NULL","NULL"
"3","2023-05-09T22:59:45.068","puzzle429@gmail.com","2023-05-09T22:59:45.068","puzzle429@gmail.com","NULL","candidate1@gmail.com","false","NULL","true","false","NULL","NULL","$2a$10$uvDQnT1aulejMAxWDtS1P.b3CD8JnlFvY2iVDff7NS6iLb0D.HrgS","NULL","NULL","NULL"
"8","2023-05-12T07:11:01.563","puzzle429@gmail.com","2023-05-12T07:11:01.563","puzzle429@gmail.com","NULL","haovu9612@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$8RJAYKMyvhNaT2JNtM9tWOkNGepJqKmS2a/HPd5ojZ1md9EUHm0yi","NULL","NULL","NULL"
"7","2023-05-09T23:17:20.488","puzzle429@gmail.com","2023-05-09T23:35:08.359","puzzle429@gmail.com","NULL","haovu961@gmail.com","true","NULL","true","false","NULL","NULL","$2a$10$uv/wNlKYps/v.o6GJ/4thOtP10khhmKPhDQzzae4wLO8dXXNgLEEy","NULL","NULL","NULL"
"4","2023-05-09T22:59:45.073","puzzle429@gmail.com","2023-05-14T04:57:55.89","puzzle429@gmail.com","NULL","admin1@gmail.com","false","qua dep trai quá troi qua dat","true","false","2023-05-14T04:57:55.849","NULL","$2a$10$PhsHRVxkqGbzSAaRFkQ5Eek4VYpNApWcWxspnLNslSNzoHkdVBVnu","NULL","NULL","haodeptrai962"
"9","2023-05-13T17:33:08.414","puzzle429@gmail.com","2023-05-13T17:33:08.414","puzzle429@gmail.com","NULL","haovu9634@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$7XxBWQly78GOa.l8bIFg6u8P73WGXh8OMjjiH9JKH4DDOcE96nYaK","NULL","NULL","NULL"
"10","2023-05-13T18:40:05.913","puzzle429@gmail.com","2023-05-13T18:40:05.913","puzzle429@gmail.com","NULL","haovu963@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$W/L31mPq16W3BFtBAdpgZ.ZxoMCB8fSEWTv5fHvsCU8vNdorCt3ee","NULL","NULL","NULL"
"11","2023-05-13T18:44:06.353","puzzle429@gmail.com","2023-05-13T18:44:06.353","puzzle429@gmail.com","NULL","haovu965@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$i2KtiM7ZjTAP5iNnBl4ft.6vFuQlS5SiznDI7VT8GJ4AUXGf8xcXm","NULL","NULL","NULL"
"12","2023-05-13T18:46:04.416","puzzle429@gmail.com","2023-05-13T18:46:04.416","puzzle429@gmail.com","NULL","haovu9654@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$DJ1J391b2CnFYKF0iIkwWO07633CGDgQtqdtgOd/RFQNfJJTIeq8u","NULL","NULL","NULL"
"13","2023-05-13T18:49:10.165","puzzle429@gmail.com","2023-05-13T18:49:10.165","puzzle429@gmail.com","NULL","haovu96546@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$OYwaOIEO.eMGegpfSVhJqupPCp989KfegXaK0LLP2/UQC3fkBtEpW","NULL","NULL","NULL"
"14","2023-05-13T18:50:42.431","puzzle429@gmail.com","2023-05-13T18:50:42.431","puzzle429@gmail.com","NULL","haovu96509@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$gb0yxlBKnC1ahol2LL7paOJMK137BZj6WIPw51.ti8NnFufGWAmSe","NULL","NULL","NULL"
"15","2023-05-14T02:14:39.606","puzzle429@gmail.com","2023-05-14T02:14:39.606","puzzle429@gmail.com","NULL","haovu9651@gmail.com","false","NULL","false","false","NULL","NULL","$2a$10$pqeTRnrLyOe5QS/KEBAvtux9KU3d6NHmJ9v0Woa5iLq512CfTgIDe","NULL","NULL","NULL"
